2026-04-07T06:44:18.435Z [INFO]: User 69d3f6555f7260e8536c5819 fetched jobs
2026-04-10T13:26:59.387Z [INFO]: User 69d3f6555f7260e8536c5819 fetched jobs | query: {"search":"frontend"}
2026-04-10T13:27:56.625Z [INFO]: User 69d3f6555f7260e8536c5819 fetched jobs | query: {"search":"google"}
2026-04-12T17:58:21.302Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched job stats
2026-04-12T17:58:21.305Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T17:58:21.314Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched job stats
2026-04-12T17:58:21.320Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T17:58:21.754Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T17:58:36.359Z [INFO]: User 69dbd57b85958f40a4a6c87a created job | title: Software Engineer
2026-04-12T17:58:36.378Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched job stats
2026-04-12T17:58:36.380Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T17:58:54.704Z [INFO]: User 69dbd57b85958f40a4a6c87a created job | title: System Administrator
2026-04-12T17:58:54.742Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched job stats
2026-04-12T17:58:54.743Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T17:59:15.612Z [INFO]: User 69dbd57b85958f40a4a6c87a created job | title: DevOps Engg
2026-04-12T17:59:15.636Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched job stats
2026-04-12T17:59:15.638Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T17:59:31.258Z [INFO]: User 69dbd57b85958f40a4a6c87a created job | title: AI Engg
2026-04-12T17:59:31.281Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched job stats
2026-04-12T17:59:31.287Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:00:01.165Z [INFO]: User 69dbd57b85958f40a4a6c87a deleted job | jobId: 69dbdd5e6078c9b825195405
2026-04-12T18:00:01.176Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched job stats
2026-04-12T18:00:01.178Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:03:45.223Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:03:45.233Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:04:04.294Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:04:04.310Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:04:04.327Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:04:04.346Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:04:04.381Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:04:04.403Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:04:04.421Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:04:04.438Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:04:38.274Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:04:38.282Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:04:45.013Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:04:45.021Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:08:41.270Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:08:41.284Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:08:41.361Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:08:41.374Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:08:49.639Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:08:49.649Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:08:49.714Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:08:49.724Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:09:07.153Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:09:07.163Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:09:07.226Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:09:07.234Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:14:33.244Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:14:33.255Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:14:33.357Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:14:33.368Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:27:06.635Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:27:06.646Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:27:22.258Z [INFO]: User 69dbd57b85958f40a4a6c87a created job | title: Software Engineer
2026-04-12T18:27:22.277Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:27:33.484Z [INFO]: User 69dbd57b85958f40a4a6c87a created job | title: Software Engineer
2026-04-12T18:27:33.492Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:27:57.627Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:27:57.635Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:28:06.676Z [INFO]: User 69dbd57b85958f40a4a6c87a created job | title: Software Engineer
